gene_id,SRR18885340,SRR18885341,SRR18885342,SRR18885343,SRR18885344,SRR18885345,SRR18885346,SRR18885347,SRR18885348,SRR18885349,SRR18885350,SRR18885351
ENSG00000162572.21|SCNN1D,223,192,138,152,359,211,152,229,303,222,376,209
ENSG00000278073.1|MIR6726,0,0,0,1,0,3,0,0,0,5,5,1
ENSG00000127054.22|INTS11,4564,6021,5290,4849,6108,5271,5136,5688,5459,4989,6115,5229
ENSG00000131584.19|ACAP3,1926,3364,2892,2796,2845,2988,2789,2650,2151,2945,2978,2604
ENSG00000169972.13|PUSL1,693,1291,944,914,784,995,923,846,891,1063,1152,919
ENSG00000283712.1|MIR6727,5,14,7,8,10,7,6,8,5,12,7,14
ENSG00000240731.1|ENSG00000240731,67,102,74,105,66,80,79,62,47,78,101,73
ENSG00000224051.7|CPTP,1443,1724,1710,1699,1926,1703,1867,1837,1431,1302,1828,1281
ENSG00000169962.5|TAS1R3,29,43,48,33,82,56,101,87,36,34,44,19
ENSG00000107404.21|DVL1,4778,7500,7904,6578,6430,6631,7655,6576,4992,5201,6931,5170
ENSG00000284372.1|MIR6808,3,9,1,1,5,9,4,4,2,2,4,3
ENSG00000162576.17|MXRA8,199,412,340,298,429,419,404,599,391,605,701,556
ENSG00000175756.14|AURKAIP1,5176,7244,6142,6022,6458,6394,5475,5332,6175,5938,7085,5510
ENSG00000223663.2|NDUFB4P8,5,0,3,0,2,3,0,0,3,0,4,0
ENSG00000221978.13|CCNL2,4893,7307,5474,6230,5920,4982,4564,5664,6429,6411,6733,6542
ENSG00000224870.9|MRPL20-AS1,1214,1266,1143,946,1664,1257,985,1285,1224,1088,1287,1094
ENSG00000242485.6|MRPL20,3716,4924,4476,4160,4214,4154,4232,3988,4055,3442,4719,3813
ENSG00000264293.2|RN7SL657P,1,1,1,1,1,2,1,1,1,1,1,1
ENSG00000272455.1|MRPL20-DT,130,285,248,224,252,233,232,289,123,166,177,225
ENSG00000235098.9|ANKRD65,3,0,3,0,0,0,0,0,4,0,0,4
ENSG00000225905.1|ANKRD65-AS1,0,0,0,0,0,0,0,0,4,0,0,0
ENSG00000205116.4|TMEM88B,0,0,13,0,5,0,3,3,10,4,7,6
ENSG00000225285.1|LINC01770,11,0,0,0,4,0,3,4,8,6,13,0
ENSG00000179403.12|VWA1,4374,2054,2480,2492,4796,1614,2367,2435,5454,2004,3814,2902
ENSG00000160072.20|ATAD3B,238,405,330,358,307,369,380,287,294,399,465,297
ENSG00000284740.3|ENSG00000284740,0,0,0,0,3,0,0,3,0,0,1,0
ENSG00000215915.10|ATAD3C,46,62,42,51,47,72,76,54,41,57,80,38
ENSG00000290916.1|ENSG00000290916,18,5,10,3,7,21,0,10,25,7,8,18
